PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP
50.07,57.07,11.89,15.77,35.81,11.14,15.96,0.74,27.84,0.42,1.45,1.66,0.89,89.25,None,None,34.22,775.1
39.24,46.24,12.05,16.23,36.51,11.34,15.21,0.73,27.18,0.41,1.47,1.7,0.87,89.25,None,None,30.36,775.1
37.88,44.88,11.99,16.3,35.73,11.25,12.78,0.73,27.5,0.41,1.48,1.64,0.86,89.25,None,None,31.91,775.1
35.35,42.35,11.92,16.06,36.08,11.26,13.75,0.74,27.95,0.41,1.46,1.64,0.9,89.25,None,None,27.42,775.1
30.43,37.43,11.93,16.1,36.3,11.33,12.7,0.72,27.36,0.41,1.46,1.66,0.85,89.25,None,None,29.47,775.1
36.39,43.39,12.05,16.16,37.33,11.49,11.95,0.73,27.21,0.41,1.44,1.75,0.9,89.25,None,None,30.6,775.1
30.07,37.07,12,15.79,36.69,11.24,7.24,0.73,27.54,0.42,1.43,1.7,0.91,89.25,None,None,46.63,775.1
35.75,42.75,11.81,16.37,36.41,11.37,6.67,0.74,27.24,0.41,1.47,1.69,0.86,89.22,None,None,68.12,775.1
33.34,40.34,11.75,15.84,36.51,11.23,7.52,0.74,27.36,0.41,1.45,1.7,0.87,84,None,None,104.09,775.1
28.89,35.89,12.12,15.86,35.76,11.46,7.11,0.75,27.23,0.4,1.44,1.69,0.87,68.94,None,None,189.79,775.1
25.46,35.7,11.96,15.69,36.29,11.34,12.07,0.73,28.74,0.41,1.45,1.65,0.93,63.4,None,None,190.34,775.1
17.82,29.82,12.18,16.58,35.94,11.21,15.61,0.73,30.77,0.41,1.47,1.7,0.87,61.43,None,None,193.28,775.1
21.75,33.76,11.65,15.9,36.26,11.33,19.3,0.75,31.46,0.42,1.45,1.64,0.88,59.35,None,None,266.34,775.6
21.62,33.62,12.23,15.97,36.54,11.31,19.59,0.73,28.85,0.4,1.46,1.72,0.86,55.09,None,None,226.19,776.18
21.36,29.63,12.11,16.53,36.17,11.27,9.26,0.73,30.02,0.42,1.44,1.67,0.83,56.18,None,None,86.1,776.38
27.73,35.73,11.93,16.52,35.34,11.28,9.1,0.73,27.65,0.41,1.45,1.67,0.88,54.82,None,None,64.6,776.78
26.8,34.8,12.18,15.84,35.95,11.33,9.43,0.75,27.79,0.41,1.46,1.67,0.88,59.94,None,None,36.76,776.78
28.81,36.81,12.24,15.93,36.64,11.48,11.55,0.71,27.97,0.4,1.41,1.66,0.9,67.72,None,None,23.94,776.88
37.52,45.52,11.8,16.15,35.77,11.26,14.06,0.75,27.91,0.4,1.45,1.73,0.88,72.85,None,None,28.85,777.15
35.9,43.9,11.98,16,36.7,11.27,13.75,0.74,27.46,0.42,1.46,1.64,0.88,78.86,None,None,35.62,777.58
42.35,50.35,12,15.75,36.92,10.98,13.59,0.72,27.06,0.4,1.45,1.62,0.88,83.34,None,None,26.42,777.6
40.39,48.39,11.98,15.93,36.38,11.43,12.91,0.75,27.67,0.41,1.49,1.69,0.9,78.03,None,None,24.88,776.48
38.09,46.09,11.93,15.78,36.51,11.39,8.88,0.72,27.45,0.41,1.46,1.64,0.9,80.26,None,None,24.49,776.65
