PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP
33.38,40.38,11.82,15.76,36.39,11.44,12.82,0.72,27.14,0.41,1.44,1.7,0.85,78.36,None,None,25.62,775.35
42.22,49.22,12.08,16.2,35.55,11.01,11.32,0.72,26.97,0.41,1.46,1.66,0.85,82.88,None,None,25.5,775.1
39.49,46.49,12.01,15.91,36.96,11.32,11.53,0.72,27.23,0.42,1.46,1.73,0.86,87.25,None,None,26.36,775.1
43.87,50.87,11.79,15.99,36.38,11.27,10.61,0.71,27.3,0.41,1.42,1.68,0.9,88.61,None,None,26.08,775.1
40.74,47.74,12.19,15.7,37.06,11.37,11.41,0.73,27.63,0.42,1.43,1.69,0.88,89.25,None,None,25.07,775.1
37.56,44.56,11.84,16.19,36.47,11.44,10.5,0.74,27.39,0.42,1.43,1.65,0.86,89.25,None,None,25.35,775.1
36.19,43.19,12.1,15.83,35.6,11.51,10.55,0.74,26.73,0.41,1.44,1.66,0.91,89.25,None,None,29.12,775.1
36.34,43.34,12.01,15.61,36.34,11.23,10.07,0.75,26.94,0.41,1.44,1.68,0.87,89.25,None,None,32.78,775.1
40,47,12.11,15.95,35.69,11.29,9.37,0.74,27.48,0.4,1.47,1.66,0.89,89.25,None,None,35.99,775.1
45.26,52.26,11.87,16.67,35.8,11.21,10.29,0.75,27.39,0.42,1.44,1.68,0.9,89.25,None,None,46.73,775.1
39.84,46.84,11.74,16,35.89,11.36,9.23,0.73,27.47,0.41,1.45,1.7,0.88,89.25,None,None,67.38,775.1
36.54,43.54,11.92,16.34,36.88,11.23,10.41,0.73,27.13,0.41,1.46,1.68,0.89,82.19,None,None,104.26,775.1
41.99,48.99,12.11,15.8,36.03,11.33,9.84,0.73,26.84,0.41,1.48,1.68,0.88,67.46,None,None,304.65,775.1
32.22,39.22,11.86,16.26,36.29,11.34,9.43,0.73,26.94,0.41,1.46,1.67,0.9,54.53,None,None,408.76,775.1
